mol_id,smiles,pIC50
CHEMBL1242656,CC1CCC(C1)n2nc(c3ccc(F)c(O)c3)c4c(N)ncnc24,6.44
CHEMBL1241241,CC(C)n1nc(c2ccc(O)cc2)c3c(N)ncnc13,6.04
CHEMBL1242295,Nc1ncnc2c1c(nn2C3CCCC3)c4ccc5[nH]ccc5c4,6.13
CHEMBL1242381,COc1ccc(cc1OC)c2nn(C[C@@H](C)CO)c3ncnc(N)c23,4.75
CHEMBL1242659,CCOc1ccc(cc1OC)c2nn(C3CCCCC3)c4ncnc(N)c24,5.94
CHEMBL1241586,CC(C)n1nc(c2ccc3NC(=O)Nc3c2)c4c(N)ncnc14,6.03
CHEMBL1242757,CC(C)n1nc(c2cccc3[nH]ccc23)c4c(N)ncnc14,5.34
CHEMBL1242853,CC(C)(C)OC(=O)n1ccc2cc(ccc12)c3nn(C4CCCC4)c5ncnc(N)c35,6.41
CHEMBL1243316,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNCC#C,7.22
CHEMBL1243345,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)CCF,7.64
CHEMBL1242376,Nc1ncnc2c1c(nn2C3CCCC3)c4ccc(Br)c(O)c4,6.63
CHEMBL1172781,OC[C@@H](Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)c5ccccc5,6.65
CHEMBL590083,CCCCNC(=O)c1ccc(cc1)N(CCCl)CCCl,4.64
CHEMBL1242198,CC(C)n1nc(c2cc(O)cc(F)c2)c3c(N)ncnc13,6.24
CHEMBL1243346,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\c4cn(CCF)nn4,8.39
CHEMBL1241579,C[C@H](CN)n1nc(c2ccc(Cl)c(O)c2)c3c(N)ncnc13,5.32
CHEMBL1242288,COc1ccc(cc1O)c2nn([C@@H]3CCNC3)c4ncnc(N)c24,4.9
CHEMBL1242662,CC(C)n1nc(c2ccc3cc(O)ccc3c2)c4c(N)ncnc14,7.06
CHEMBL1242469,Nc1ncnc2c1c(nn2CCCC#N)c3ccc(F)c(O)c3,4.75
CHEMBL601040,Cc1ccc(NC(=O)c2ccc(cc2)N(CCCl)CCCl)cc1,6.24
CHEMBL604672,ClCCN(CCCl)c1ccc(cc1)C(=O)Nc2ccccc2Br,5.11
CHEMBL602645,CCCN(CCC)C(=O)c1ccc(cc1)N(CCCl)CCCl,4.53
CHEMBL1241483,COc1cc(ccc1F)c2nn(C(C)C)c3ncnc(N)c23,5.41
CHEMBL604914,Brc1cccc(Nc2ncnc3ccc(NC(=O)COc4ccccc4)cc23)c1,6.54
CHEMBL597950,Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC=C=C,7.62
CHEMBL589259,CC(C)(C)NC(=O)c1ccc(cc1)N(CCCl)CCCl,4.5
CHEMBL597303,CCCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.2
CHEMBL592153,CCCCCCCCCCCCCCCCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.87
CHEMBL603968,CCCCCCCCOC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.23
CHEMBL599728,CCCCCCCCCCOC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.51
CHEMBL605337,CCCCCCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.67
CHEMBL592481,Oc1c(Cl)cc(Cl)cc1\C=N\NC2=NC(=O)CS2,5.84
CHEMBL604042,Oc1ccc(CN(Cc2cccc(Br)c2O)C(=S)Nc3ccccc3)cc1,6.92
CHEMBL589413,CCCCN(Cc1cccc(Cl)c1O)C(=S)Nc2ccccc2,4.74
CHEMBL1242203,COc1ccc(cc1O)c2nn(C3CNC3)c4ncnc(N)c24,4.77
CHEMBL1241481,COc1cc(ccc1NC(=O)OC(C)(C)C)c2nn(C(C)C)c3ncnc(N)c23,6.77
CHEMBL1240565,Cn1nc(c2cnc3[nH]ccc3c2)c4c(N)ncnc14,4.82
CHEMBL1242470,Nc1ncnc2c1c(nn2CCCCC#N)c3ccc(F)c(O)c3,4.96
CHEMBL1242199,Nc1ncnc2c1c(nn2C3CCCC3)c4cc(O)cc(F)c4,6.12
CHEMBL1173191,NC(=S)N1N=C(CC1c2ccc(cc2)[N+](=O)[O-])c3ccc(Br)c(Br)c3,4.97
CHEMBL1173192,NC(=S)N1N=C(CC1c2ccc(O)cc2)c3ccc(Br)c(Br)c3,4.95
CHEMBL1242750,Nc1ncnc2c1c(nn2C3CCCCCC3)c4ccc(F)c(O)c4,6.11
CHEMBL427314,CCOc1cc2ncc(C#N)c(Nc3cccc(OCc4ccccc4)c3)c2cc1NC(=O)\C=C\CN(C)C,4.89
